rank,source,target
1,current,C3
1,C3,C4
1,C3,C9
1,C3,C15
1,C4,C18
1,C15,C20
1,C15,C26
1,C18,C26
1,C18,C30
1,C26,C30
2,current,C3
2,C3,C4
2,C4,C9
2,C4,C15
2,C4,C18
2,C15,C20
2,C15,C24
2,C15,C26
2,C20,C30
3,current,C3
3,C3,C4
3,C4,C9
3,C4,C15
3,C4,C18
3,C15,C20
3,C15,C24
3,current,C26
3,C15,C26
3,C20,C30
4,current,C3
4,C3,C4
4,C3,C9
4,C3,C15
4,C4,C18
4,C15,C18
4,C15,C20
4,C15,C26
4,C18,C30
5,current,C3
5,current,C4
5,C3,C4
5,C3,C9
5,C3,C15
5,C9,C15
5,C9,C18
5,current,C26
5,current,C30
6,current,C3
6,C3,C4
6,C3,C9
6,C3,C15
6,C9,C18
6,C9,C20
6,C18,C26
6,C18,C30
7,current,C3
7,C3,C4
7,C3,C9
7,C3,C15
7,C9,C15
7,C9,C18
7,current,C26
7,current,C30
8,current,C3
8,current,C4
8,C3,C4
8,C3,C9
8,C9,C15
8,C9,C18
8,current,C26
8,current,C30
